,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,EnclosedPorch,ExterCond,ExterQual,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Other,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,FireplaceQu,Fireplaces,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageTypeMeanPrice,GarageYrBlt,GrLivArea,HalfBath,HeatingQC,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,Id,KitchenAbvGr,KitchenQual,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LandSlope,LotArea,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LotDepth,LotFrontage,LotShape,LowQualFinSF,MSSubClass_120,MSSubClass_150,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,MasVnrArea,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,MiscVal,MoSold,NeighborhoodMeanPrice,OpenPorchSF,OverallCond,OverallQual,PavedDrive_N,PavedDrive_P,PavedDrive_Y,PoolArea,RoofMatl_ClyTile,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,SalePrice,ScreenPorch,Street_Grvl,Street_Pave,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
10,1040,0,0,3,1,0,0,0,0,3,1,906,0,3,1,1,0,3,134,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,384,1,3,1,3,134091,1965,1040,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,1,3,0,0,0,1,3,11200,0,0,0,0,1,160,70,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,136793,0,5,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,129500,0,0,1,5,1040,4,0,1965,1965,2008
11,1182,1142,0,4,1,0,0,0,0,3,1,998,0,6,1,1,0,5,177,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,1,0,0,0,3,8,736,3,3,3,3,254752,2005,2324,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,1,5,0,0,0,1,3,11924,0,0,0,0,1,140,85,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,286,0,0,0,1,0,7,316271,21,5,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,345000,0,0,1,11,1175,4,147,2005,2006,2006
12,912,0,0,2,1,0,0,0,0,3,1,737,0,5,1,1,0,3,175,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,352,1,3,1,3,134091,1962,912,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13,1,3,0,0,0,1,3,12968,0,0,0,0,1,142,91,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9,136793,0,6,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,144000,176,0,1,4,912,4,140,1962,1962,2008
13,1494,0,0,3,1,0,0,0,0,3,3,0,0,1,1,0,0,4,1494,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,1,0,0,0,2,8,840,3,3,2,3,202893,2006,1494,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,14,1,4,0,0,0,1,3,10652,0,0,0,0,1,117,91,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,306,0,0,0,1,0,8,197966,33,5,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,279500,0,0,1,7,1494,4,160,2006,2007,2007
14,1253,0,0,2,1,0,0,0,0,3,1,733,0,4,1,1,0,3,520,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,176,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,8,352,1,3,2,3,202893,1960,1253,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,15,1,3,0,0,0,1,3,10920,1,0,0,0,0,142,76,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,212,0,1,0,0,0,5,145847,213,5,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,157000,0,0,1,5,1253,4,0,1960,1960,2008
15,854,0,0,2,1,0,0,0,0,3,1,0,0,1,1,0,0,3,832,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,8,576,2,3,1,3,134091,1991,854,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,16,1,3,0,0,0,1,3,6120,1,0,0,0,0,120,51,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,124834,112,8,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,132000,0,0,1,5,832,4,48,1929,2001,2007
16,1004,0,0,2,1,0,0,0,0,3,1,578,0,5,1,1,0,3,426,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,1,8,480,2,3,3,3,202893,1970,1004,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,17,1,3,0,0,0,1,3,11241,0,1,0,0,0,142,78,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,180,0,1,0,0,700,3,145847,0,7,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,149000,0,0,1,5,1004,4,0,1970,1970,2010
17,1296,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,516,2,3,1,3,109962,1967,1296,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,18,2,3,0,0,0,1,3,10791,0,0,0,0,1,149,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,500,10,136793,0,5,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,90000,0,0,1,6,0,4,0,1967,1967,2006
18,1114,0,0,3,1,0,0,0,0,3,1,646,0,6,1,1,0,3,468,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,8,576,2,3,1,3,134091,2004,1114,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,19,1,4,0,0,0,1,3,13695,0,0,0,0,1,207,66,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,186556,102,5,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,159000,0,0,1,6,1114,4,0,2004,2004,2008
19,1339,0,0,3,1,0,0,0,0,3,1,504,0,2,1,0,0,3,525,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,294,1,3,1,3,202893,1958,1339,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20,1,3,0,0,0,1,3,7560,0,0,0,0,1,108,70,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,145847,0,6,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,139000,0,0,1,6,1029,4,0,1958,1965,2009
20,1158,1218,0,4,1,0,0,0,0,3,3,0,0,1,1,0,0,5,1158,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,1,0,0,0,3,8,853,3,3,2,3,254752,2005,2376,1,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,21,1,4,0,0,0,1,3,14215,1,0,0,0,0,140,101,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,380,0,1,0,0,0,11,316271,154,5,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,325300,0,0,1,9,1158,4,240,2005,2006,2006
21,1108,0,0,3,1,0,0,0,0,3,1,0,0,1,1,0,0,3,637,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,205,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,1,8,280,1,3,1,3,202893,1930,1108,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,22,1,4,1,0,0,0,3,7449,0,0,0,0,1,130,57,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,100124,0,7,7,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,139400,0,0,1,6,637,4,0,1930,1950,2007
22,1795,0,0,3,1,0,0,0,0,3,1,0,0,1,1,0,0,4,1777,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,1,0,0,0,2,8,534,2,3,2,3,202893,2002,1795,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,23,1,4,0,0,0,1,3,9742,0,0,0,0,1,129,75,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,281,0,1,0,0,0,9,197966,159,5,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,230000,0,0,1,7,1777,4,171,2002,2002,2008
23,1060,0,0,3,0,0,0,0,1,3,1,840,0,6,1,1,0,4,200,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,8,572,2,3,1,3,202893,1976,1060,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,24,1,3,0,0,0,1,3,4224,0,0,0,0,1,96,44,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,98576,110,7,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,129900,0,0,1,6,1040,4,100,1976,1976,2007
24,1060,0,0,3,1,0,0,0,0,3,2,188,668,3,5,1,0,3,204,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,1,8,270,1,3,1,3,202893,1968,1060,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,25,1,4,0,0,0,1,3,8246,0,0,0,0,1,142,57,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,136793,90,8,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,154000,0,0,1,6,1060,4,406,1968,2001,2010
25,1600,0,0,3,1,0,0,0,0,3,1,0,0,1,1,0,0,4,1566,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,1,0,0,0,2,8,890,3,3,2,3,202893,2007,1600,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,26,1,4,0,0,0,1,3,14230,1,0,0,0,0,129,110,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,640,0,0,0,1,0,7,316271,56,5,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,256300,0,0,1,7,1566,4,0,2007,2007,2009
